WasdeNumber,Region,Commodity,Attribute,ProjEstFlag,ReportDate,MarketYear,Value,Unit,ReleaseDate,ForecastYear,ForecastMonth
549,United States,Corn,Production,Est.,January 2016,2014/15,14216.0,Million Bushels,2016-01-12,2016,1
550,United States,Corn,Production,Est.,February 2016,2014/15,14216.0,Million Bushels,2016-02-09,2016,2
551,United States,Corn,Production,Est.,March 2016,2014/15,14216.0,Million Bushels,2016-03-09,2016,3
552,United States,Corn,Production,Est.,April 2016,2014/15,14216.0,Million Bushels,2016-04-12,2016,4
553,United States,Corn,Production,Est.,May 2016,2015/16,13601.0,Million Bushels,2016-05-10,2016,5
554,United States,Corn,Production,Est.,June 2016,2015/16,13601.0,Million Bushels,2016-06-10,2016,6
555,United States,Corn,Production,Est.,July 2016,2015/16,13601.0,Million Bushels,2016-07-12,2016,7
556,United States,Corn,Production,Est.,August 2016,2015/16,13601.0,Million Bushels,2016-08-12,2016,8
557,United States,Corn,Production,Est.,September 2016,2015/16,13601.0,Million Bushels,2016-09-12,2016,9
558,United States,Corn,Production,Est.,October 2016,2015/16,13601.0,Million Bushels,2016-10-12,2016,10
559,United States,Corn,Production,Est.,November 2016,2015/16,13601.0,Million Bushels,2016-11-09,2016,11
560,United States,Corn,Production,Est.,December 2016,2015/16,13601.0,Million Bushels,2016-12-09,2016,12
561,United States,Corn,Production,Est.,January 2017,2015/16,13602.0,Million Bushels,2017-01-12,2017,1
562,United States,Corn,Production,Est.,February 2017,2015/16,13602.0,Million Bushels,2017-02-09,2017,2
563,United States,Corn,Production,Est.,March 2017,2015/16,13602.0,Million Bushels,2017-03-09,2017,3
564,United States,Corn,Production,Est.,April 2017,2015/16,13602.0,Million Bushels,2017-04-11,2017,4
565,United States,Corn,Production,Est.,May 2017,2016/17,15148.0,Million Bushels,2017-05-10,2017,5
566,United States,Corn,Production,Est.,June 2017,2016/17,15148.0,Million Bushels,2017-06-09,2017,6
567,United States,Corn,Production,Est.,July 2017,2016/17,15148.0,Million Bushels,2017-07-12,2017,7
568,United States,Corn,Production,Est.,August 2017,2016/17,15148.0,Million Bushels,2017-08-10,2017,8
569,United States,Corn,Production,Est.,September 2017,2016/17,15148.0,Million Bushels,2017-09-12,2017,9
570,United States,Corn,Production,Est.,October 2017,2016/17,15148.0,Million Bushels,2017-10-12,2017,10
571,United States,Corn,Production,Est.,November 2017,2016/17,15148.0,Million Bushels,2017-11-09,2017,11
572,United States,Corn,Production,Est.,December 2017,2016/17,15148.0,Million Bushels,2017-12-12,2017,12
573,United States,Corn,Production,Est.,January 2018,2016/17,15148.0,Million Bushels,2018-01-12,2018,1
574,United States,Corn,Production,Est.,February 2018,2016/17,15148.0,Million Bushels,2018-02-08,2018,2
575,United States,Corn,Production,Est.,March 2018,2016/17,15148.0,Million Bushels,2018-03-08,2018,3
576,United States,Corn,Production,Est.,April 2018,2016/17,15148.0,Million Bushels,2018-04-10,2018,4
577,United States,Corn,Production,Est.,May 2018,2017/18,14604.0,Million Bushels,2018-05-10,2018,5
578,United States,Corn,Production,Est.,June 2018,2017/18,14604.0,Million Bushels,2018-06-12,2018,6
579,United States,Corn,Production,Est.,July 2018,2017/18,14604.0,Million Bushels,2018-07-12,2018,7
580,United States,Corn,Production,Est.,August 2018,2017/18,14604.0,Million Bushels,2018-08-10,2018,8
581,United States,Corn,Production,Est.,September 2018,2017/18,14604.0,Million Bushels,2018-09-12,2018,9
582,United States,Corn,Production,Est.,October 2018,2017/18,14604.0,Million Bushels,2018-10-11,2018,10
583,United States,Corn,Production,Est.,November 2018,2017/18,14604.0,Million Bushels,2018-11-08,2018,11
584,United States,Corn,Production,Est.,December 2018,2017/18,14604.0,Million Bushels,2018-12-11,2018,12
585,United States,Corn,Production,Est.,February 2019,2017/18,14609.0,Million Bushels,2019-02-08,2019,2
586,United States,Corn,Production,Est.,March 2019,2017/18,14609.0,Million Bushels,2019-03-08,2019,3
587,United States,Corn,Production,Est.,April 2019,2017/18,14609.0,Million Bushels,2019-04-09,2019,4
588,United States,Corn,Production,Est.,May 2019,2018/19,14420.0,Million Bushels,2019-05-10,2019,5
589,United States,Corn,Production,Est.,June 2019,2018/19,14420.0,Million Bushels,2019-06-11,2019,6
590,United States,Corn,Production,Est.,July 2019,2018/19,14420.0,Million Bushels,2019-07-11,2019,7
591,United States,Corn,Production,Est.,August 2019,2018/19,14420.0,Million Bushels,2019-08-12,2019,8
592,United States,Corn,Production,Est.,September 2019,2018/19,14420.0,Million Bushels,2019-09-12,2019,9
593,United States,Corn,Production,Est.,October 2019,2018/19,14420.0,Million Bushels,2019-10-10,2019,10
594,United States,Corn,Production,Est.,November 2019,2018/19,14420.0,Million Bushels,2019-11-08,2019,11
595,United States,Corn,Production,Est.,December 2019,2018/19,14420.0,Million Bushels,2019-12-10,2019,12
596,United States,Corn,Production,Est.,January 2020,2018/19,14340.0,Million Bushels,2020-01-10,2020,1
597,United States,Corn,Production,Est.,February 2020,2018/19,14340.0,Million Bushels,2020-02-11,2020,2
598,United States,Corn,Production,Est.,March 2020,2018/19,14340.0,Million Bushels,2020-03-10,2020,3
599,United States,Corn,Production,Est.,April 2020,2018/19,14340.0,Million Bushels,2020-04-09,2020,4
600,United States,Corn,Production,Est.,May 2020,2019/20,13663.0,Million Bushels,2020-05-12,2020,5
601,United States,Corn,Production,Est.,June 2020,2019/20,13617.0,Million Bushels,2020-06-11,2020,6
602,United States,Corn,Production,Est.,July 2020,2019/20,13617.0,Million Bushels,2020-07-10,2020,7
603,United States,Corn,Production,Est.,August 2020,2019/20,13617.0,Million Bushels,2020-08-12,2020,8
604,United States,Corn,Production,Est.,September 2020,2019/20,13617.0,Million Bushels,2020-09-11,2020,9
605,United States,Corn,Production,Est.,October 2020,2019/20,13620.0,Million Bushels,2020-10-09,2020,10
606,United States,Corn,Production,Est.,November 2020,2019/20,13620.0,Million Bushels,2020-11-10,2020,11
607,United States,Corn,Production,Est.,December 2020,2019/20,13620.0,Million Bushels,2020-12-10,2020,12
608,United States,Corn,Production,Est.,January 2021,2019/20,13620.0,Million Bushels,01/12/2021,2021,1
609,United States,Corn,Production,Est.,February 2021,2019/20,13620.0,Million Bushels,02/09/2021,2021,2
610,United States,Corn,Production,Est.,March 2021,2019/20,13620.0,Million Bushels,03/09/2021,2021,3
611,United States,Corn,Production,Est.,April 2021,2019/20,13620.0,Million Bushels,04/09/2021,2021,4
612,United States,Corn,Production,Est.,May 2021,2020/21,14182.0,Million Bushels,2021-05-12,2021,5
613,United States,Corn,Production,Est.,June 2021,2020/21,14182.0,Million Bushels,2021-06-10,2021,6
614,United States,Corn,Production,Est.,July 2021,2020/21,14182.0,Million Bushels,2021-07-12,2021,7
615,United States,Corn,Production,Est.,August 2021,2020/21,14182.0,Million Bushels,2021-08-12,2021,8
616,United States,Corn,Production,Est.,September 2021,2020/21,14182.0,Million Bushels,2021-09-10,2021,9
617,United States,Corn,Production,Est.,October 2021,2020/21,14111.0,Million Bushels,2021-10-12,2021,10
618,United States,Corn,Production,Est.,November 2021,2020/21,14111.0,Million Bushels,11/09/2021,2021,11
619,United States,Corn,Production,Est.,December 2021,2020/21,14111.0,Million Bushels,2021-12-09,2021,12
620,United States,Corn,Production,Est.,January 2022,2020/21,14111.0,Million Bushels,2022-01-12,2022,1
621,United States,Corn,Production,Est.,February 2022,2020/21,14111.0,Million Bushels,2022-02-09,2022,2
622,United States,Corn,Production,Est.,March 2022,2020/21,14111.0,Million Bushels,2022-03-09,2022,3
623,United States,Corn,Production,Est.,April 2022,2020/21,14111.0,Million Bushels,2022-04-08,2022,4
624,United States,Corn,Production,Est.,May 2022,2021/22,15115.0,Million Bushels,2022-05-12,2022,5
625,United States,Corn,Production,Est.,June 2022,2021/22,15115.0,Million Bushels,2022-06-10,2022,6
626,United States,Corn,Production,Est.,July 2022,2021/22,15115.0,Million Bushels,2022-07-12,2022,7
627,United States,Corn,Production,Est.,August 2022,2021/22,15115.0,Million Bushels,2022-08-12,2022,8
628,United States,Corn,Production,Est.,September 2022,2021/22,15115.0,Million Bushels,2022-09-12,2022,9
629,United States,Corn,Production,Est.,October 2022,2021/22,15074.0,Million Bushels,2022-10-12,2022,10
630,United States,Corn,Production,Est.,November 2022,2021/22,15074.0,Million Bushels,2022-11-09,2022,11
631,United States,Corn,Production,Est.,December 2022,2021/22,15074.0,Million Bushels,2022-12-09,2022,12
632,United States,Corn,Production,Est.,January 2023,2021/22,15074.0,Million Bushels,2023-01-12,2023,1
